species;biomass;NumberAdults;TrapID;Exploratory;plot;PlotIDYear;month;year;Order;Suborder;Family;Genus;epitheton;subspecies;length;feeding_guild;LUI;replicate;Rep_ID
Trigonotylus caelestialium;8.379764695;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;0.64;A;AEG25-KEFJun2008A
Muellerianella fairmairei;7.217015125;3;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Muellerianella;fairmairei;;3.45;h;0.64;B;AEG25-KEFJun2008B
Macrosteles laevis;364.8029436;137;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;0.64;B;AEG25-KEFJun2008B
Meligethes aeneus;5.901473253;8;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;0.64;B;AEG25-KEFJun2008B
Polymerus unifasciatus;25.13929408;3;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;0.64;B;AEG25-KEFJun2008B
Cixius nervosus;15.3425015;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Fulgoromorpha;Cixiidae;Cixius;nervosus;;7.5;h;0.64;B;AEG25-KEFJun2008B
Hyledelphax elegantulus;1.723500103;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Hyledelphax;elegantulus;;3;h;0.64;B;AEG25-KEFJun2008B
Chaetocnema hortensis;0.574331658;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Chaetocnema;hortensis;;1.9;h;0.64;B;AEG25-KEFJun2008B
Phylloneta impressa;24.68156213;3;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;0.64;B;AEG25-KEFJun2008B
Leptopterna dolabrata;37.67058017;2;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;0.64;B;AEG25-KEFJun2008B
Sitona lepidus;14.59312873;2;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;lepidus;;5.25;h;0.64;B;AEG25-KEFJun2008B
Arthaldeus pascuellus;19.91756948;8;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;0.64;B;AEG25-KEFJun2008B
Plagiognathus chrysanthemi;7.784434868;3;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;0.64;B;AEG25-KEFJun2008B
Ischnopterapion virens;0.828703408;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Ischnopterapion;virens;;2.2;h;0.64;B;AEG25-KEFJun2008B
Philaenus spumarius;9.3712384;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;0.64;B;AEG25-KEFJun2008B
Trigonotylus caelestialium;8.379764695;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;0.64;B;AEG25-KEFJun2008B
Protapion assimile;0.694538631;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Protapion;assimile;;2.05;h;0.64;B;AEG25-KEFJun2008B
Theridion pinastri;3.609947625;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Theridion;pinastri;;3.13;c;0.64;B;AEG25-KEFJun2008B
Notostira elongata;13.88881353;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Notostira;elongata;;7.3;h;0.64;B;AEG25-KEFJun2008B
Errastunus ocellaris;2.242626293;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;0.64;B;AEG25-KEFJun2008B
Notostira erratica;15.28166428;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;0.64;B;AEG25-KEFJun2008B
Psammotettix helvolus;2.010424871;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;0.64;B;AEG25-KEFJun2008B
Protapion fulvipes;0.652944126;1;AEG25-KEFJun2008;ALB;AEG25;AEG25_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Protapion;fulvipes;;2;h;0.64;B;AEG25-KEFJun2008B
Longitarsus luridus;0.537274827;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;1.32;A;AEG26-KEFAug2008A
Psammotettix helvolus;20.10424871;10;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;1.32;A;AEG26-KEFAug2008A
Turrutus socialis;31.39676811;14;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.32;A;AEG26-KEFAug2008A
Dibolia cryptocephala;0.574331658;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Dibolia;cryptocephala;;1.9;h;1.32;A;AEG26-KEFAug2008A
Hardya tenuis;6.727878879;3;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;1.32;A;AEG26-KEFAug2008A
Doratura exilis;4.172378463;2;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Doratura;exilis;;3.25;h;1.32;A;AEG26-KEFAug2008A
Longitarsus pratensis;0.373683633;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;1.32;A;AEG26-KEFAug2008A
Macrosteles laevis;2.662795209;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.32;A;AEG26-KEFAug2008A
Aphthona herbigrada;0.574331658;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Aphthona;herbigrada;;1.9;h;1.32;A;AEG26-KEFAug2008A
Oulema melanopus;3.696170856;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Oulema;melanopus;;4;h;1.32;A;AEG26-KEFAug2008A
Notostira erratica;15.28166428;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;1.32;A;AEG26-KEFAug2008A
Trachyphloeus alternans;1.140901003;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Trachyphloeus;alternans;;2.5;h;1.32;A;AEG26-KEFAug2008A
Turrutus socialis;74.00666769;33;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.32;B;AEG26-KEFAug2008B
Psammotettix helvolus;26.13552332;13;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;1.32;B;AEG26-KEFAug2008B
Doratura exilis;4.172378463;2;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Doratura;exilis;;3.25;h;1.32;B;AEG26-KEFAug2008B
Longitarsus luridus;2.149099306;4;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;1.32;B;AEG26-KEFAug2008B
Stenodema laevigata;19.37825854;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Stenodema;laevigata;;8.4;h;1.32;B;AEG26-KEFAug2008B
Adelphocoris lineolatus;19.37825854;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Adelphocoris;lineolatus;;8.4;h;1.32;B;AEG26-KEFAug2008B
Cryptocephalus fulvus;1.140901002;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Cryptocephalus;fulvus;;2.5;h;1.32;B;AEG26-KEFAug2008B
Altica oleracea;1.800032134;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Altica;oleracea;;3;h;1.32;B;AEG26-KEFAug2008B
Acalypta parvula;0.643197251;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Heteroptera;Tingidae;Acalypta;parvula;;2;h;1.32;B;AEG26-KEFAug2008B
Macrosteles laevis;2.662795209;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.32;B;AEG26-KEFAug2008B
Hardya tenuis;8.970505171;4;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;1.32;B;AEG26-KEFAug2008B
Trachyphloeus alternans;1.140901003;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Trachyphloeus;alternans;;2.5;h;1.32;B;AEG26-KEFAug2008B
Polymerus unifasciatus;8.379764693;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.32;B;AEG26-KEFAug2008B
Microlinyphia pusilla;6.478964737;1;AEG26-KEFAug2008;ALB;AEG26;AEG26_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Microlinyphia;pusilla;;3.88;c;1.32;B;AEG26-KEFAug2008B
Plagiognathus chrysanthemi;70.05991379;27;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;1.32;A;AEG26-KEFJun2008A
Hardya tenuis;94.19030428;42;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;1.32;A;AEG26-KEFJun2008A
Hoplomachus thunbergii;7.065877236;2;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Hoplomachus;thunbergii;;4.1;h;1.32;A;AEG26-KEFJun2008A
Leptopterna ferrugata;81.26630177;5;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;ferrugata;;7.8;h;1.32;A;AEG26-KEFJun2008A
Psammotettix cephalotes;16.08339897;8;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;cephalotes;;3.2;h;1.32;A;AEG26-KEFJun2008A
Aculepeira ceropegia;106.5296502;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Aculepeira;ceropegia;;11;c;1.32;A;AEG26-KEFJun2008A
Meioneta rurestris;44.87166059;2;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Araneae;Labidognatha;Linyphiidae;Meioneta;rurestris;;6.23;c;1.32;A;AEG26-KEFJun2008A
Athous bicolor;32.15783013;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Coleoptera;Polyphaga;Elateridae;Athous;bicolor;;9.5;h;1.32;A;AEG26-KEFJun2008A
Polymerus unifasciatus;8.379764693;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.32;A;AEG26-KEFJun2008A
Kosswigianella exigua;2.231078527;2;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Kosswigianella;exigua;;2.5;h;1.32;A;AEG26-KEFJun2008A
Calocoris roseomaculatus;40.32471147;3;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Calocoris;roseomaculatus;;7.2;h;1.32;A;AEG26-KEFJun2008A
Doratura exilis;2.086189231;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Doratura;exilis;;3.25;h;1.32;A;AEG26-KEFJun2008A
Cryptocephalus vittatus;3.145228488;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Cryptocephalus;vittatus;;3.75;h;1.32;A;AEG26-KEFJun2008A
Turrutus socialis;11.21313146;5;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.32;A;AEG26-KEFJun2008A
Macrosteles laevis;2.662795209;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.32;A;AEG26-KEFJun2008A
Meligethes aeneus;1.475368313;2;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;1.32;A;AEG26-KEFJun2008A
Leptopterna dolabrata;18.83529009;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.32;A;AEG26-KEFJun2008A
Nusoncus nasutus;0.995796729;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Araneae;Labidognatha;Linyphiidae;Nusoncus;nasutus;;1.9;c;1.32;A;AEG26-KEFJun2008A
Catapion pubescens;0.612881572;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Catapion;pubescens;;1.95;h;1.32;A;AEG26-KEFJun2008A
Cryptachaea riparia;4.877252538;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Cryptachaea;riparia;;3.5;c;1.32;A;AEG26-KEFJun2008A
Hardya tenuis;80.73454652;36;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;1.32;B;AEG26-KEFJun2008B
Psammotettix cephalotes;4.020849742;2;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;cephalotes;;3.2;h;1.32;B;AEG26-KEFJun2008B
Leptopterna ferrugata;97.51956213;6;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;ferrugata;;7.8;h;1.32;B;AEG26-KEFJun2008B
Doratura exilis;4.172378463;2;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Doratura;exilis;;3.25;h;1.32;B;AEG26-KEFJun2008B
Calocoris roseomaculatus;107.5325639;8;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Calocoris;roseomaculatus;;7.2;h;1.32;B;AEG26-KEFJun2008B
Plagiognathus chrysanthemi;49.30142081;19;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;1.32;B;AEG26-KEFJun2008B
Turrutus socialis;13.45575776;6;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.32;B;AEG26-KEFJun2008B
Megaloceroea recticornis;22.82535154;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Megaloceroea;recticornis;;9;h;1.32;B;AEG26-KEFJun2008B
Kosswigianella exigua;1.115539263;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Kosswigianella;exigua;;2.5;h;1.32;B;AEG26-KEFJun2008B
Catapion pubescens;0.612881572;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Catapion;pubescens;;1.95;h;1.32;B;AEG26-KEFJun2008B
Leptopterna dolabrata;18.83529009;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.32;B;AEG26-KEFJun2008B
Cryptocephalus vittatus;3.145228488;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Cryptocephalus;vittatus;;3.75;h;1.32;B;AEG26-KEFJun2008B
Meioneta rurestris;22.4358303;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Araneae;Labidognatha;Linyphiidae;Meioneta;rurestris;;6.23;c;1.32;B;AEG26-KEFJun2008B
Polymerus unifasciatus;16.75952939;2;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.32;B;AEG26-KEFJun2008B
Phylloneta impressa;24.68156213;3;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;1.32;B;AEG26-KEFJun2008B
Trichosirocalus troglodytes;1.258485869;1;AEG26-KEFJun2008;ALB;AEG26;AEG26_2008;Jun;2008;Coleoptera;Polyphaga;Curculionidae;Trichosirocalus;troglodytes;;2.6;h;1.32;B;AEG26-KEFJun2008B
Leptopterna ferrugata;2015.404284;124;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;ferrugata;;7.8;h;1.24;A;AEG27-KEFJun2008A
Meligethes aeneus;6.639157409;9;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;1.24;A;AEG27-KEFJun2008A
Plagiognathus chrysanthemi;15.56886973;6;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;1.24;A;AEG27-KEFJun2008A
Psammotettix cephalotes;8.04169948;4;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;cephalotes;;3.2;h;1.24;A;AEG27-KEFJun2008A
Calocoris roseomaculatus;188.1819869;14;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Calocoris;roseomaculatus;;7.2;h;1.24;A;AEG27-KEFJun2008A
Leptopterna dolabrata;169.5176108;9;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.24;A;AEG27-KEFJun2008A
Rhinoncus pericarpius;1.725936693;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Curculionidae;Rhinoncus;pericarpius;;2.95;h;1.24;A;AEG27-KEFJun2008A
Pseudovadonia livida;20.92319764;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Cerambycidae;Pseudovadonia;livida;;8;o;1.24;A;AEG27-KEFJun2008A
Lygus rugulipennis;6.209776;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Lygus;rugulipennis;;5.2;o;1.24;A;AEG27-KEFJun2008A
Polymerus unifasciatus;16.75952939;2;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.24;A;AEG27-KEFJun2008A
Ischnopterapion virens;1.657406816;2;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Ischnopterapion;virens;;2.2;h;1.24;A;AEG27-KEFJun2008A
Hardya tenuis;2.242626293;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;1.24;A;AEG27-KEFJun2008A
Strongylocoris steganoides;2.594811621;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Strongylocoris;steganoides;;3.6;h;1.24;A;AEG27-KEFJun2008A
Mangora acalypha;9.596244385;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Mangora;acalypha;;4.5;c;1.24;A;AEG27-KEFJun2008A
Cryptocephalus aureolus;10.18957986;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Cryptocephalus;aureolus;;6;h;1.24;A;AEG27-KEFJun2008A
Catapion pubescens;0.612881572;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Catapion;pubescens;;1.95;h;1.24;A;AEG27-KEFJun2008A
Turrutus socialis;2.242626293;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.24;A;AEG27-KEFJun2008A
Meligethes aeneus;2.21305247;3;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;1.24;B;AEG27-KEFJun2008B
Leptopterna ferrugata;1950.391242;120;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;ferrugata;;7.8;h;1.24;B;AEG27-KEFJun2008B
Leptopterna dolabrata;94.17645043;5;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.24;B;AEG27-KEFJun2008B
Plagiognathus chrysanthemi;12.9740581;5;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;1.24;B;AEG27-KEFJun2008B
Calocoris roseomaculatus;120.9741345;9;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Calocoris;roseomaculatus;;7.2;h;1.24;B;AEG27-KEFJun2008B
Psammotettix cephalotes;2.01042487;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;cephalotes;;3.2;h;1.24;B;AEG27-KEFJun2008B
Macrosteles laevis;7.988385626;3;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.24;B;AEG27-KEFJun2008B
Hoplia argentea;36.55947916;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Scarabaeidae;Hoplia;argentea;;10;h;1.24;B;AEG27-KEFJun2008B
Javesella pellucida;2.575400943;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.24;B;AEG27-KEFJun2008B
Hadrodemus mflavum;13.88881353;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Hadrodemus;mflavum;;7.3;h;1.24;B;AEG27-KEFJun2008B
Tychius picirostris;0.782399543;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Curculionidae;Tychius;picirostris;;2.15;h;1.24;B;AEG27-KEFJun2008B
Turrutus socialis;4.485252586;2;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.24;B;AEG27-KEFJun2008B
Mangora acalypha;9.596244385;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Mangora;acalypha;;4.5;c;1.24;B;AEG27-KEFJun2008B
Phylloneta impressa;16.45437475;2;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;1.24;B;AEG27-KEFJun2008B
Lygus rugulipennis;6.209776;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Lygus;rugulipennis;;5.2;o;1.24;B;AEG27-KEFJun2008B
Prosternon tessellatum;46.40054756;1;AEG27-KEFJun2008;ALB;AEG27;AEG27_2008;Jun;2008;Coleoptera;Polyphaga;Elateridae;Prosternon;tessellatum;;11;h;1.24;B;AEG27-KEFJun2008B
Turrutus socialis;244.4462659;109;AEG27-KEFAug2008;ALB;AEG27;AEG27_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.24;A;AEG27-KEFAug2008A
Psammotettix cephalotes;60.31274611;30;AEG27-KEFAug2008;ALB;AEG27;AEG27_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;cephalotes;;3.2;h;1.24;A;AEG27-KEFAug2008A
