species;biomass;count;year;plot;month;sampling;epitheton;genus;tribus;subfamily;family;order;class;length;feeding_guild;TrapID;replicate;Rep_ID
Eupteryx vittata;2.010424871;1;2010;B4A07;Jul;2010 main suction Jul 1 A;vittata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B4A07_Jul;A;2010_B4A07_JulA
Sitona hispidulus;3.696170856;1;2010;B4A07;Jul;2010 main suction Jul 1 A;hispidulus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2010_B4A07_Jul;A;2010_B4A07_JulA
Megadelphax sordidula;3.579022963;1;2010;B4A07;Jul;2010 main suction Jul 1 A;sordidula;Megadelphax;NA;;Delphacidae;Hemiptera;Insecta;4.075;herbivore;2010_B4A07_Jul;A;2010_B4A07_JulA
Aphrodes bicinctus;9.18900153;1;2010;B4A07;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B4A07_Jul;A;2010_B4A07_JulA
Megaspilidae;0.899398061;1;2010;B4A07;Jul;2010 main suction Jul 1 A;;;NA;;Megaspilidae;Hymenoptera;Insecta;3;predator;2010_B4A07_Jul;A;2010_B4A07_JulA
Javesella pellucida;17.89266815;6;2010;B4A07;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Protapion fulvipes;7.83532951;12;2010;B4A07;Jul;2010 main suction Jul 1 A;fulvipes;Protapion;NA;;Apionidae;Coleoptera;Insecta;2;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Ischnopterapion virens;0.612881572;1;2010;B4A07;Jul;2010 main suction Jul 1 B;virens;Ischnopterapion;NA;;Apionidae;Coleoptera;Insecta;1.95;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Brassicogethes aeneus;1.475368313;2;2010;B4A07;Jul;2010 main suction Jul 1 A;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Pteromalidae;215.1927075;13;2010;B4A07;Jul;2010 main suction Jul 1 B;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Sitona obsoletus;7.296564364;1;2010;B4A07;Jul;2010 main suction Jul 1 B;obsoletus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;5.25;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Orthocephalus saltator;8.929207067;2;2010;B4A07;Jul;2010 main suction Jul 1 A;saltator;Orthocephalus;NA;;Miridae;Hemiptera;Insecta;4.525;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Halticus apterus;2.45258373;2;2010;B4A07;Jul;2010 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Euscelis incisus;52.85826165;17;2010;B4A07;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Sitona lineatus;7.392341712;2;2010;B4A07;Jul;2010 main suction Jul 1 B;lineatus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Pachygnatha degeeri;20.26865573;4;2010;B4A07;Jul;2010 main suction Jul 1 A;degeeri;Pachygnatha;NA;;Tetragnathidae;Araneae;Arachnida;3.55;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Eulophidae;0.387107236;4;2010;B4A07;Jul;2010 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Anaceratagallia ribauti;5.273901436;3;2010;B4A07;Jul;2010 main suction Jul 1 B;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Aphrodes makarovi;11.82697832;1;2010;B4A07;Jul;2010 main suction Jul 1 A;makarovi;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.725;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Protapion nigritarse;0.467560872;1;2010;B4A07;Jul;2010 main suction Jul 1 A;nigritarse;Protapion;NA;;Apionidae;Coleoptera;Insecta;1.75;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Aphthona euphorbiae;0.467560872;1;2010;B4A07;Jul;2010 main suction Jul 1 B;euphorbiae;Aphthona;NA;;Chrysomelidae;Coleoptera;Insecta;1.75;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Megadelphax sordidula;3.579022963;1;2010;B4A07;Jul;2010 main suction Jul 1 A;sordidula;Megadelphax;NA;;Delphacidae;Hemiptera;Insecta;4.075;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Scelionidae;1.416894724;1;2010;B4A07;Jul;2010 main suction Jul 1 B;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Aphidiinae;1.144779278;2;2010;B4A07;Jul;2010 main suction Jul 1 B;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Raglius vulgaris;14.8088174;1;2010;B4A07;Jul;2010 main suction Jul 1 A;vulgaris;Raglius;NA;;Rhyparochromidae;Hemiptera;Insecta;7.5;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Tychius picirostris;2.347198631;3;2010;B4A07;Jul;2010 main suction Jul 1 A;picirostris;Tychius;NA;;Curculionidae;Coleoptera;Insecta;2.15;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Porizontinae;10.40212212;1;2010;B4A07;Jul;2010 main suction Jul 1 A;;;NA;Porizontinae;Ichneumonidae;Hymenoptera;Insecta;8.525;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Longitarsus lycopi;0.55933086;1;2010;B4A07;Jul;2010 main suction Jul 1 A;lycopi;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.88;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Aphrodes bicinctus;18.37800306;2;2010;B4A07;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Doryctinae;16.9988618;1;2010;B4A07;Jul;2010 main suction Jul 1 B;;;NA;Doryctinae;Braconidae;Hymenoptera;Insecta;8.5;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Eupteryx vittata;2.010424871;1;2010;B4A07;Jul;2010 main suction Jul 1 A;vittata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Microlestes maurus;1.583313792;1;2010;B4A07;Jul;2010 main suction Jul 1 B;maurus;Microlestes;NA;;Carabidae;Coleoptera;Insecta;2.85;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Longitarsus luridus;1.074549654;2;2010;B4A07;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B4A07_Jul;B;2010_B4A07_JulB
Diapriidae;1.530433547;1;2010;B4A07;Jul;2010 main suction Jul 1 B;;;NA;;Diapriidae;Hymenoptera;Insecta;3.85;predator;2010_B4A07_Jul;B;2010_B4A07_JulB
Aphrodes bicinctus;18.37800306;2;2010;B4A15;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B4A15_Jul;A;2010_B4A15_JulA
Halticus apterus;1.226291865;1;2010;B4A15;Jul;2010 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B4A15_Jul;A;2010_B4A15_JulA
Eurytomidae;0.719189495;1;2010;B4A15;Jul;2010 main suction Jul 1 B;;;NA;;Eurytomidae;Hymenoptera;Insecta;2.975;predator;2010_B4A15_Jul;A;2010_B4A15_JulA
Erigone dentipalpis;1.681415259;1;2010;B4A15;Jul;2010 main suction Jul 1 A;dentipalpis;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.32;predator;2010_B4A15_Jul;A;2010_B4A15_JulA
Entomognathus brevis;3.057703473;1;2010;B4A15;Jul;2010 main suction Jul 1 B;brevis;Entomognathus;NA;;Crabronidae;Hymenoptera;Insecta;4.5;predator;2010_B4A15_Jul;A;2010_B4A15_JulA
Alysiinae;0.905475714;1;2010;B4A15;Jul;2010 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B4A15_Jul;A;2010_B4A15_JulA
Javesella pellucida;8.946334076;3;2010;B4A15;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B4A15_Jul;B;2010_B4A15_JulB
Aphrodes bicinctus;9.18900153;1;2010;B4A15;Jul;2010 main suction Jul 1 A;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B4A15_Jul;B;2010_B4A15_JulB
Eulophidae;0.290330427;3;2010;B4A15;Jul;2010 main suction Jul 1 A;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A15_Jul;B;2010_B4A15_JulB
Euscelis incisus;12.43723804;4;2010;B4A15;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B4A15_Jul;B;2010_B4A15_JulB
Longitarsus pratensis;1.121050899;3;2010;B4A15;Jul;2010 main suction Jul 1 A;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B4A15_Jul;B;2010_B4A15_JulB
Pteromalidae;16.55328519;1;2010;B4A15;Jul;2010 main suction Jul 1 A;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B4A15_Jul;B;2010_B4A15_JulB
Encyrtidae;0.148035728;1;2010;B4A15;Jul;2010 main suction Jul 1 B;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2010_B4A15_Jul;B;2010_B4A15_JulB
Coccinella septempunctata;17.39173956;1;2010;B4A15;Jul;2010 main suction Jul 1 A;septempunctata;Coccinella;NA;;Coccinellidae;Coleoptera;Insecta;7.43;predator;2010_B4A15_Jul;B;2010_B4A15_JulB
Torymidae;2.394799484;1;2010;B4A15;Jul;2010 main suction Jul 1 A;;;NA;;Torymidae;Hymenoptera;Insecta;4.15;predator;2010_B4A15_Jul;B;2010_B4A15_JulB
Mymaridae;0.006147203;1;2010;B4A15;Jul;2010 main suction Jul 1 B;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2010_B4A15_Jul;B;2010_B4A15_JulB
Aphidiinae;0.572389639;1;2010;B4A15;Jul;2010 main suction Jul 1 A;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B4A15_Jul;B;2010_B4A15_JulB
Longitarsus pratensis;156.1997586;418;2010;B2A20;Jul;2010 main suction Jul 1 A;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Cryptinae;17.07691208;1;2010;B2A20;Jul;2010 main suction Jul 1 A;;;NA;Cryptinae;Ichneumonidae;Hymenoptera;Insecta;10.5;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Plagiognathus chrysanthemi;7.784434866;3;2010;B2A20;Jul;2010 main suction Jul 1 A;chrysanthemi;Plagiognathus;NA;;Miridae;Hemiptera;Insecta;3.6;omnivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Adelphocoris lineolatus;58.54619165;3;2010;B2A20;Jul;2010 main suction Jul 1 B;lineolatus;Adelphocoris;NA;;Miridae;Hemiptera;Insecta;8.425;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Lygus pratensis;31.92425853;3;2010;B2A20;Jul;2010 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Aphidiinae;0.572389639;1;2010;B2A20;Jul;2010 main suction Jul 1 B;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Aphrodes bicinctus;27.5670046;3;2010;B2A20;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Longitarsus melanocephalus;3.703242392;3;2010;B2A20;Jul;2010 main suction Jul 1 A;melanocephalus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.58;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Euscelis incisus;37.3117141;12;2010;B2A20;Jul;2010 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Eulophidae;0.096776809;1;2010;B2A20;Jul;2010 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Tiphia;23.13513885;1;2010;B2A20;Jul;2010 main suction Jul 1 A;;Tiphia;NA;;Tiphiidae;Hymenoptera;Insecta;9.5;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Erigone dentipalpis;1.681415259;1;2010;B2A20;Jul;2010 main suction Jul 1 B;dentipalpis;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.32;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Pteromalidae;16.55328519;1;2010;B2A20;Jul;2010 main suction Jul 1 A;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Lygus rugulipennis;6.209775999;1;2010;B2A20;Jul;2010 main suction Jul 1 B;rugulipennis;Lygus;NA;;Miridae;Hemiptera;Insecta;5.2;omnivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Chlamydatus pullus;0.821007316;1;2010;B2A20;Jul;2010 main suction Jul 1 A;pullus;Chlamydatus;NA;;Miridae;Hemiptera;Insecta;2.216666667;omnivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Longitarsus luridus;0.537274827;1;2010;B2A20;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Scelionidae;1.416894724;1;2010;B2A20;Jul;2010 main suction Jul 1 A;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Sitona humeralis;4.301309706;1;2010;B2A20;Jul;2010 main suction Jul 1 B;humeralis;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4.25;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Trichosirocalus troglodytes;2.397656626;2;2010;B2A20;Jul;2010 main suction Jul 1 B;troglodytes;Trichosirocalus;NA;;Curculionidae;Coleoptera;Insecta;2.55;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Anaceratagallia ribauti;1.757967145;1;2010;B2A20;Jul;2010 main suction Jul 1 B;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Alysiinae;0.905475714;1;2010;B2A20;Jul;2010 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B2A20_Jul;A;2010_B2A20_JulA
Javesella pellucida;2.982111359;1;2010;B2A20;Jul;2010 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B2A20_Jul;A;2010_B2A20_JulA
Longitarsus pratensis;156.1997586;418;2010;B2A20;Jul;2010 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Plagiognathus chrysanthemi;10.37924649;4;2010;B2A20;Jul;2010 main suction Jul 1 A;chrysanthemi;Plagiognathus;NA;;Miridae;Hemiptera;Insecta;3.6;omnivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Euscelis incisus;27.98378558;9;2010;B2A20;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Anaceratagallia ribauti;10.54780287;6;2010;B2A20;Jul;2010 main suction Jul 1 A;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Trichosirocalus troglodytes;3.59648494;3;2010;B2A20;Jul;2010 main suction Jul 1 B;troglodytes;Trichosirocalus;NA;;Curculionidae;Coleoptera;Insecta;2.55;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Eulophidae;0.387107236;4;2010;B2A20;Jul;2010 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B2A20_Jul;B;2010_B2A20_JulB
Longitarsus melanocephalus;6.172070654;5;2010;B2A20;Jul;2010 main suction Jul 1 A;melanocephalus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.58;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Anoscopus serratulae;3.275980812;1;2010;B2A20;Jul;2010 main suction Jul 1 B;serratulae;Anoscopus;NA;;Cicadellidae;Hemiptera;Insecta;3.926666667;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Adelphocoris lineolatus;39.03079443;2;2010;B2A20;Jul;2010 main suction Jul 1 B;lineolatus;Adelphocoris;NA;;Miridae;Hemiptera;Insecta;8.425;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Lygus pratensis;10.64141951;1;2010;B2A20;Jul;2010 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Erigone dentipalpis;1.681415259;1;2010;B2A20;Jul;2010 main suction Jul 1 B;dentipalpis;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.32;predator;2010_B2A20_Jul;B;2010_B2A20_JulB
Megophthalmus scanica;1.792831263;1;2010;B2A20;Jul;2010 main suction Jul 1 B;scanica;Megophthalmus;NA;;Cicadellidae;Hemiptera;Insecta;3.05;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Aphrodes bicinctus;18.37800306;2;2010;B2A20;Jul;2010 main suction Jul 1 A;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Javesella pellucida;2.982111359;1;2010;B2A20;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Tychius pusillus;0.522865727;1;2010;B2A20;Jul;2010 main suction Jul 1 B;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Lamprobyrrhulus nitidus;1.800032134;1;2010;B2A20;Jul;2010 main suction Jul 1 B;nitidus;Lamprobyrrhulus;NA;;Byrrhidae;Coleoptera;Insecta;3;herbivore;2010_B2A20_Jul;B;2010_B2A20_JulB
Longitarsus luridus;4.298198613;8;2010;B1A20;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Longitarsus pratensis;3.363152697;9;2010;B1A20;Jul;2010 main suction Jul 1 A;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Plagiognathus chrysanthemi;5.189623243;2;2010;B1A20;Jul;2010 main suction Jul 1 A;chrysanthemi;Plagiognathus;NA;;Miridae;Hemiptera;Insecta;3.6;omnivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Aphthona pallida;2.421467223;6;2010;B1A20;Jul;2010 main suction Jul 1 A;pallida;Aphthona;NA;;Chrysomelidae;Coleoptera;Insecta;1.65;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Euscelis incisus;15.54654754;5;2010;B1A20;Jul;2010 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Lygus pratensis;31.92425853;3;2010;B1A20;Jul;2010 main suction Jul 1 A;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Mymaridae;0.006147203;1;2010;B1A20;Jul;2010 main suction Jul 1 B;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2010_B1A20_Jul;A;2010_B1A20_JulA
Aphrodes bicinctus;18.37800307;2;2010;B1A20;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Microgasterinae;0.572389639;1;2010;B1A20;Jul;2010 main suction Jul 1 A;;;NA;Microgasterinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B1A20_Jul;A;2010_B1A20_JulA
Cryptinae;17.07691208;1;2010;B1A20;Jul;2010 main suction Jul 1 B;;;NA;Cryptinae;Ichneumonidae;Hymenoptera;Insecta;10.5;predator;2010_B1A20_Jul;A;2010_B1A20_JulA
Javesella pellucida;2.982111359;1;2010;B1A20;Jul;2010 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Agyneta rurestris;1.294735959;1;2010;B1A20;Jul;2010 main suction Jul 1 B;rurestris;Agyneta;NA;;Linyphiidae;Araneae;Arachnida;2.1;predator;2010_B1A20_Jul;A;2010_B1A20_JulA
Halticus apterus;2.45258373;2;2010;B1A20;Jul;2010 main suction Jul 1 B;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Orius niger;0.662440064;1;2010;B1A20;Jul;2010 main suction Jul 1 B;niger;Orius;NA;;Anthocoridae;Hemiptera;Insecta;2.025;omnivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Braconinae;10.17595103;2;2010;B1A20;Jul;2010 main suction Jul 1 B;;;NA;Braconinae;Braconidae;Hymenoptera;Insecta;5.5;predator;2010_B1A20_Jul;A;2010_B1A20_JulA
Oulema gallaeciana;3.696170856;1;2010;B1A20;Jul;2010 main suction Jul 1 A;gallaeciana;Oulema;NA;;Chrysomelidae;Coleoptera;Insecta;4;herbivore;2010_B1A20_Jul;A;2010_B1A20_JulA
Pimplinae;50.04887309;1;2010;B1A20;Jul;2010 main suction Jul 1 B;;;NA;Pimplinae;Ichneumonidae;Hymenoptera;Insecta;16.5;predator;2010_B1A20_Jul;B;2010_B1A20_JulB
Longitarsus pratensis;1.494734532;4;2010;B1A20;Jul;2010 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Aphrodes bicinctus;18.37800307;2;2010;B1A20;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Alysiinae;2.716427141;3;2010;B1A20;Jul;2010 main suction Jul 1 B;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B1A20_Jul;B;2010_B1A20_JulB
Brassicogethes aeneus;0.737684157;1;2010;B1A20;Jul;2010 main suction Jul 1 A;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Chlorita paolii;3.157400472;2;2010;B1A20;Jul;2010 main suction Jul 1 B;paolii;Chlorita;NA;;Cicadellidae;Hemiptera;Insecta;2.891666667;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Entomognathus brevis;3.057703473;1;2010;B1A20;Jul;2010 main suction Jul 1 A;brevis;Entomognathus;NA;;Crabronidae;Hymenoptera;Insecta;4.5;predator;2010_B1A20_Jul;B;2010_B1A20_JulB
Euscelis incisus;12.43723804;4;2010;B1A20;Jul;2010 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Plagiognathus chrysanthemi;5.189623242;2;2010;B1A20;Jul;2010 main suction Jul 1 B;chrysanthemi;Plagiognathus;NA;;Miridae;Hemiptera;Insecta;3.6;omnivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Encyrtidae;0.148035728;1;2010;B1A20;Jul;2010 main suction Jul 1 B;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2010_B1A20_Jul;B;2010_B1A20_JulB
Lygus pratensis;53.20709756;5;2010;B1A20;Jul;2010 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Eupteryx notata;1.045868373;1;2010;B1A20;Jul;2010 main suction Jul 1 B;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Aphthona pallida;1.614311482;4;2010;B1A20;Jul;2010 main suction Jul 1 A;pallida;Aphthona;NA;;Chrysomelidae;Coleoptera;Insecta;1.65;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Longitarsus luridus;2.149099307;4;2010;B1A20;Jul;2010 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Eulophidae;0.290330427;3;2010;B1A20;Jul;2010 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B1A20_Jul;B;2010_B1A20_JulB
Halticus apterus;1.226291865;1;2010;B1A20;Jul;2010 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Lasioglossum pauxillum;9.276251404;1;2010;B1A20;Jul;2010 main suction Jul 1 A;pauxillum;Lasioglossum;NA;;Halictidae;Hymenoptera;Insecta;6.5;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Sitona humeralis;4.301309706;1;2010;B1A20;Jul;2010 main suction Jul 1 B;humeralis;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4.25;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
Javesella pellucida;5.964222717;2;2010;B1A20;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B1A20_Jul;B;2010_B1A20_JulB
